Tratando de conseguir un mordisco de mi pizza.	Trying to get a bite of my pizza.	[mordisco]
La película estaba chévere.	The movie was great.	[chévere]
Ay, que mala onda.	Ay, que mala onda.	[onda]
Estoy agotada.	I'm exhausted.	[agotada]
Ya no aguanto.	I can't stand it anymore.	[aguanto]
He aprendido español por mi cuenta.	I have learned Spanish on my own.	[cuenta]
¡Ten cuidado! Me mojaste con tu bebida.	Be careful! You splashed me with your drink.	[mojaste]
Tu cuerpo no puedo luchar contra esos virus.	Your body cannot fight those viruses.	[luchar]
Aun vale la pena aprender espanol?	Is it still worth learning Spanish?	[vale la pena]
Se me da muy bien hacer preguntas.	I'm very good at asking questions.	[me da]
Nadar contra la corriente.	Swim against the current.	[corriente]
No vale la pena preocuparse.	It's not worth worrying.	[vale la pena]
No sé si vale la pena tanto trabajo.	I don't know if it's worth all the effort.	[vale la pena]
¿Qué estás haciendo?	What are you doing?	[haciendo]
No me quejo.	I'm not complaining.	[quejo]
===================
